"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"163","4q22.1",-0.81708727224978,-2.24338878772984,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"164","4q22.3",-0.77953733545822,-2.13651019029804,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"165","4q23",-0.469561294867056,-1.35392225400528,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"166","4q24",-0.5681753294584,-1.6847483711291,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"167","4q25",-0.629461014761027,-1.91546824114151,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"168","4q27",-0.602929464685837,-1.81106415682812,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"169","4q31.1",-0.612229317672554,-1.8668223305289,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"170","4q31.21",-0.647680574557027,-1.99823768510975,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"171","4q31.22",-0.666802692745158,-2.06710485323086,1,"con","ALL","4","q","4q",0,-1,"LUAD","B_cell"
"172","4q32.1",-0.751619079662433,-2.28270031273586,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"173","4q32.2",-0.75259214236956,-2.27293113933669,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"174","4q34.1",-0.788193560577647,-2.45855005220299,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"175","4q34.2",-0.79292198141695,-2.49762407072703,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"176","4q35.1",-0.876821913450188,-2.84382248660326,1,"con","ALL","4","q","4q",0,1,"LUAD","B_cell"
"177","5p15.33",-0.0339295110982719,-0.263856969512258,0.792493351857875,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"178","5p15.31",-0.0446318619738564,-0.31795402217254,0.751256382220213,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"179","5p15.2",-0.0471898684233534,-0.322042798669493,0.74816710507138,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"180","5p15.1",-0.0500318619150638,-0.313096665049552,0.754931632117886,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"181","5p13.3",-0.0558226934683396,-0.328045375668325,0.743639305905348,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"182","5p13.1",-0.0634255113637224,-0.322239761427872,0.748018393036202,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"183","5p12",-0.0846644354461647,-0.416182956849732,0.678266919950245,"con","ALL","5","p","5p",0,1,"LUAD","B_cell"
"184","5q11.1",-0.117427193340466,-0.52771983374445,0.598992453346293,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
