"","Arm","Coefficients","T_val","P_val","Event","-signedlog(P.adj)","cnv_status","TumorType"
"1868","Arm14q",4.85170315016568,0.64258231321927,0.521496117753189,"ALL",0.144048270847016,1,"TGCT"
"1869","Arm15q",28.385177802528,3.40302397262238,0.000858898214560936,"ALL",2.15224444766596,1,"TGCT"
"1870","Arm16p",-7.52379633070945,-0.806961267853526,0.420992506152917,"ALL",-0.167633203355136,-1,"TGCT"
"1871","Arm16q",-7.26949959115168,-0.793086332094735,0.429005725117573,"ALL",-0.167633203355136,-1,"TGCT"
"1872","Arm17p",-19.8667753360995,-3.02144674862067,0.00296812471224203,"ALL",-1.69288524884241,-1,"TGCT"
"1873","Arm17q",-15.3030760951676,-1.92197006901692,0.0565440957275396,"ALL",-0.589550415094718,1,"TGCT"
"1874","Arm18p",6.68421036349957,0.756106425246964,0.450795363153039,"ALL",0.164600467162355,-1,"TGCT"
"1875","Arm18q",13.285368365541,1.21496974072167,0.226325535244944,"ALL",0.262931508537024,-1,"TGCT"
"1876","Arm19p",34.0236494988658,4.49130111181951,1.42218609159166e-05,"ALL",3.71138097090038,-1,"TGCT"
"1877","Arm19q",39.2568086685653,5.0552819941488,1.25991323212309e-06,"ALL",4.28687550618468,-1,"TGCT"
"1878","Arm20p",3.11053770620296,0.392014585379907,0.695615186668023,"ALL",0.0969787473107203,-1,"TGCT"
"1879","Arm20q",-12.5875223697426,-1.23035413554838,0.22052974675334,"ALL",-0.262931508537024,1,"TGCT"
"1880","Arm21q",-7.87765990513847,-1.02951081911871,0.304930651775073,"ALL",-0.204045056895384,1,"TGCT"
"1881","Arm22q",34.4312993024531,4.82542515830179,3.46111989493384e-06,"ALL",4.14902949521027,-1,"TGCT"
"1882","ArmXp",-3.98520033207866,-0.233819002043461,0.815450809124399,"ALL",-0.0556019719091018,-1,"TGCT"
"1883","ArmXq",-9.26327392678621,-0.580253329754678,0.562632185067489,"ALL",-0.128353264995617,-1,"TGCT"
"1884","Arm1p",15.3926403133608,0.195519888121084,0.845069227849204,"ALL",0.0146249535814987,1,"THCA"
"1885","Arm1q",-1.33287865474163,-0.0415365969758587,0.966885497952888,"ALL",-0.0146249535814987,1,"THCA"
"1886","Arm2p",-37.1898307615108,-0.405935497039335,0.684972028729388,"ALL",-0.0339997212355314,-1,"THCA"
"1887","Arm2q",-92.2739443053731,-0.92252566471499,0.356720830115009,"ALL",-0.0546518155651494,-1,"THCA"
"1888","Arm3p",-156.429788595673,-1.18758194372817,0.235589181259292,"ALL",-0.0546518155651494,1,"THCA"
"1889","Arm3q",-78.7574298082651,-0.525194982665185,0.599691677768045,"ALL",-0.0453791765555646,-1,"THCA"
"1890","Arm4p",8.42733861208311,0.0580830169924428,0.953706825558869,"ALL",0.0146249535814987,1,"THCA"
"1891","Arm4q",8.42733861208311,0.0580830169924428,0.953706825558869,"ALL",0.0146249535814987,1,"THCA"
"1892","Arm5p",43.3370382827539,0.876164755777756,0.381381479682958,"ALL",0.0546518155651494,1,"THCA"
"1893","Arm5q",-45.8091046033602,-0.528852812382851,0.597153550796999,"ALL",-0.0453791765555646,1,"THCA"
"1894","Arm6p",-147.799476606953,-0.936517501313661,0.349480706614994,"ALL",-0.0546518155651494,-1,"THCA"
"1895","Arm6q",-70.1454907866735,-0.812076728680022,0.41715267719163,"ALL",-0.0546518155651494,-1,"THCA"
"1896","Arm7p",69.0998735603695,1.27476215831144,0.203014040115644,"ALL",0.0546518155651494,1,"THCA"
"1897","Arm7q",25.5538813185936,0.503037937695734,0.615169787526983,"ALL",0.0453791765555646,1,"THCA"
"1898","Arm8p",-58.7576028341824,-0.607147795745608,0.544041727289169,"ALL",-0.0495239411577087,-1,"THCA"
"1899","Arm8q",-60.1033544984021,-0.711090838217241,0.477375511541086,"ALL",-0.0495239411577087,1,"THCA"
"1900","Arm9p",-62.1431003842697,-1.19316881186694,0.233396392077018,"ALL",-0.0546518155651494,-1,"THCA"
"1901","Arm9q",-30.2301073270616,-0.809430613768667,0.418671072224872,"ALL",-0.0546518155651494,-1,"THCA"
"1902","Arm10p",-18.8645244279112,-0.296701750072318,0.76682336815636,"ALL",-0.0339997212355314,-1,"THCA"
"1903","Arm10q",-79.169444212126,-0.674168224063957,0.50053094368958,"ALL",-0.0495239411577087,-1,"THCA"
"1904","Arm11p",-103.360816339423,-1.58361419005972,0.113944289896334,"ALL",-0.0546518155651494,-1,"THCA"
"1905","Arm11q",35.8313939450896,0.621016674358031,0.534885284068417,"ALL",0.0495239411577087,-1,"THCA"
"1906","Arm12p",-31.1631375437576,-0.362495319148822,0.717142474714881,"ALL",-0.0339997212355314,1,"THCA"
"1907","Arm12q",-42.0593442773498,-0.618751720475379,0.53637529777435,"ALL",-0.0495239411577087,1,"THCA"
"1908","Arm13q",-13.3775435829546,-0.316191307870225,0.751995617628267,"ALL",-0.0339997212355314,-1,"THCA"
"1909","Arm14q",-163.980521894555,-1.97532761138988,0.0488070223289705,"ALL",-0.0546518155651494,1,"THCA"
"1910","Arm15q",-52.2997032032896,-0.789649836615915,0.430124641228071,"ALL",-0.0546518155651494,-1,"THCA"
"1911","Arm16p",-54.451383725388,-0.861225049908126,0.389546809501098,"ALL",-0.0546518155651494,1,"THCA"
"1912","Arm16q",-60.1716581994695,-0.973587199252464,0.330754997440917,"ALL",-0.0546518155651494,1,"THCA"
"1913","Arm17p",-64.4090290504,-1.2014521479963,0.230172046827827,"ALL",-0.0546518155651494,1,"THCA"
"1914","Arm17q",-152.47826188732,-2.28101618143195,0.0229875463434964,"ALL",-0.0546518155651494,1,"THCA"
"1915","Arm18p",-8.81152879819045,-0.122121604464872,0.902854143592194,"ALL",-0.0146249535814987,1,"THCA"
"1916","Arm18q",-8.81152879819045,-0.122121604464872,0.902854143592194,"ALL",-0.0146249535814987,1,"THCA"
"1917","Arm19p",71.2809079038551,1.07569028363489,0.282609570630715,"ALL",0.0546518155651494,-1,"THCA"
"1918","Arm19q",50.8292630731531,0.338413332495365,0.73520063189783,"ALL",0.0339997212355314,1,"THCA"
"1919","Arm20p",-122.489155715958,-1.0732322826861,0.283709546436299,"ALL",-0.0546518155651494,1,"THCA"
"1920","Arm20q",-122.489155715958,-1.0732322826861,0.283709546436299,"ALL",-0.0546518155651494,1,"THCA"
"1921","Arm21q",4.12356582729236,0.0594986876198984,0.95257982918571,"ALL",0.0146249535814987,-1,"THCA"
